title,url,category,rating,rating_count,meta_data,image_url,ingredients,directions,nutrition
Easy Slow Cooker Cheesy Potato Soup with Ham,https://www.allrecipes.com/recipe/273023/easy-slow-cooker-cheesy-potato-soup-with-ham/,"['Home', 'Recipes', 'Soups, Stews and Chili Recipes', 'Soup Recipes', 'Vegetable Soup Recipes', 'Potato Soup Recipes', 'Easy Slow Cooker Cheesy Potato Soup with Ham']",4.5,59,"['cook: 4 hrs 30 mins', 'total: 4 hrs 35 mins', 'prep: 5 mins', 'Servings: 6', 'Yield: 6 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6559810.jpg,"['1 (28 ounce) package frozen hash brown potatoes, thawed ', '2 cups diced cooked ham ', '½ cup diced onion ', '2 stalks celery, chopped ', '4 cups chicken broth ', '¼ teaspoon salt ', '¼ teaspoon pepper ', '¼ teaspoon garlic powder ', '1 (8 ounce) package cream cheese, softened ', '1 (8 ounce) package shredded Cheddar cheese ', '2 tablespoons chopped green onions, or to taste ']","['Combine hash browns, ham, onion, celery, chicken broth, salt, pepper, and garlic powder in a slow cooker. Stir well to combine. Place the lid on the slow cooker.', 'Cook on Low heat until celery is soft, 4 to 5 hours.', 'Mix in cream cheese and Cheddar cheese. Stir until cheese is melted. Cover and cook on Low for an additional 30 minutes, stirring occasionally. Serve topped with chopped green onions as a garnish.']",Per Serving:  518 calories; protein 24.2g; carbohydrates 27.7g; fat 42.4g; cholesterol 109.5mg; sodium 1846.4mg. Full Nutrition
Slow Cooker Turkey Meatballs in Tomato Sauce,https://www.allrecipes.com/recipe/276451/slow-cooker-turkey-meatballs-in-tomato-sauce/,"['Home', 'Recipes', 'World Cuisine', 'European', 'Italian', 'Slow Cooker Turkey Meatballs in Tomato Sauce']",4.5,5,"['cook: 4 hrs 5 mins', 'additional: 5 mins', 'total: 4 hrs 25 mins', 'prep: 15 mins', 'Servings: 6', 'Yield: 6 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7313072.jpg,"['¼ cup minced onion ', '1 tablespoon Italian-style salad dressing ', '1\u2009½ pounds ground turkey ', '1\u2009¼ cups Italian-seasoned bread crumbs ', '5 cloves garlic, crushed ', '2 tablespoons Italian seasoning ', ' salt and ground black pepper to taste ', '2 (14.5 ounce) cans Italian-style diced tomatoes ', '1 (26 ounce) jar marinara sauce ', '2 teaspoons dried basil ']","['Saute onion and Italian dressing in a small saute pan over medium heat for 5 minutes. Remove from heat and let cool slightly, about 5 minutes.', 'Combine turkey, bread crumbs, garlic, sauteed onions, Italian seasoning, salt, and pepper in a bowl; mix well.', 'Combine diced tomatoes and marinara in a second bowl; set aside.', 'Form 1/2 of the turkey mixture into 1 1/2-inch meatballs and layer them in the bottom of a slow cooker. Pour 1/2 of the tomato mixture over the meatballs. Form the remaining turkey mixture into meatballs and layer with remaining tomato mixture.', 'Cover and cook until no longer pink in the centers, about 4 hours on High, or 8 hours on Low.']",Per Serving:  415 calories; protein 29.8g; carbohydrates 41.1g; fat 14.1g; cholesterol 86.5mg; sodium 1281.2mg. Full Nutrition
Slow Cooker Scalloped Potatoes with Ham,https://www.allrecipes.com/recipe/47860/slow-cooker-scalloped-potatoes-with-ham/,"['Home', 'Recipes', 'Side Dish', 'Potato', 'Scalloped Potato Recipes', 'Slow Cooker Scalloped Potatoes with Ham']",4,781,"['cook: 4 hrs', 'total: 4 hrs 20 mins', 'prep: 20 mins', 'Servings: 8', 'Yield: 8 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F343697.jpg,"['3 pounds potatoes, peeled and thinly sliced ', '1 cup shredded Cheddar cheese ', '½ cup chopped onion ', '1 cup chopped cooked ham ', '1 (10.75 ounce) can condensed cream of mushroom soup ', '½ cup water ', '½ teaspoon garlic powder ', '¼ teaspoon salt ', '¼ teaspoon black pepper ']","['Place sliced potatoes in slow cooker. In a medium bowl, mix together shredded cheese, onion and ham. Mix with potatoes in slow cooker. Using the same bowl, mix together condensed soup and water. Season to taste with garlic powder, salt and pepper. Pour evenly over the potato mixture.', 'Cover, and cook on High for 4 hours.']",Per Serving:  265 calories; protein 10.8g; carbohydrates 33.3g; fat 10.2g; cholesterol 24.3mg; sodium 633.9mg. Full Nutrition
Slow-Cooked Stew Meat Chili,https://www.allrecipes.com/recipe/276968/slow-cooked-stew-meat-chili/,"['Home', 'Recipes', 'Soups, Stews and Chili Recipes', 'Chili Recipes', 'Beef Chili Recipes', 'Slow-Cooked Stew Meat Chili']",4.5,15,"['cook: 6 hrs 5 mins', 'total: 6 hrs 25 mins', 'prep: 20 mins', 'Servings: 8', 'Yield: 8 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7313470.jpg,"['1\u2009½ tablespoons vegetable oil ', '¾ pound cubed beef stew meat ', '2 tablespoons chili powder ', '1 teaspoon ground cumin ', '2 tablespoons all-purpose flour ', '1 (28 ounce) can diced tomatoes ', '1 (16 ounce) can black beans, rinsed and drained ', '1 (16 ounce) can kidney beans, rinsed and drained ', '1\u2009¾ cups beef broth, divided ', '1 large onion, chopped ', '1 small green or red bell pepper, chopped ', '¼ cup chopped fresh parsley ', '2 tablespoons barbeque sauce ', '1\u2009½ tablespoons brown sugar ', '2 cloves garlic, or more to taste, minced ', '¾ teaspoon salt ']","['Heat oil in a large skillet over medium-high heat. Add stew meat and brown for 2 minutes, stirring often. Add chili powder and cumin; cook and stir until fragrant, about 1 minute. Stir in flour and cook for 1 minute more. Transfer meat to a large slow cooker.', 'Add diced tomatoes, black beans, kidney beans, 1 1/2 cups beef broth, onion, bell pepper, parsley, barbecue sauce, brown sugar, garlic, and salt to the slow cooker; stir until well combined.', 'Cover and cook on Low, stirring occasionally, until beef is tender, 6 to 8 hours. Thin the chili with remaining beef broth as it cooks, if consistency is too thick.']",Per Serving:  268 calories; protein 15.6g; carbohydrates 30.4g; fat 9.3g; cholesterol 23.4mg; sodium 966.9mg. Full Nutrition
Creamy Slow Cooker Steel-Cut Oats,https://www.allrecipes.com/recipe/274531/creamy-slow-cooker-steel-cut-oats/,"['Home', 'Recipes', 'Breakfast and Brunch', 'Cereals', 'Oatmeal Recipes', 'Creamy Slow Cooker Steel-Cut Oats']",5,5,"['cook: 8 hrs', 'total: 8 hrs 5 mins', 'prep: 5 mins', 'Servings: 8', 'Yield: 8 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7009316.jpg,"['4 cups water ', '2 cups steel cut oats ', '2 cups almond milk ', '2 cups half-and-half ', '½ cup brown sugar ', '½ cup raisins ', '1 cinnamon stick ']","['Combine water, steel cut oats, almond milk, half-and-half, brown sugar, raisins, and cinnamon stick in a slow cooker; mix to combine. Cook on Low until oats are soft, about 8 hours.']",Per Serving:  325 calories; protein 7.4g; carbohydrates 52.6g; fat 10.2g; cholesterol 22.4mg; sodium 73.2mg. Full Nutrition
Slow Cooker Chicken Bone Broth,https://www.allrecipes.com/recipe/275943/slow-cooker-chicken-bone-broth/,"['Home', 'Recipes', 'Soups, Stews and Chili Recipes', 'Broth and Stock Recipes', 'Chicken Stock Recipes', 'Slow Cooker Chicken Bone Broth']",5,4,"['cook: 1 hr 30 mins', 'total: 1 hr 45 mins', 'prep: 15 mins', 'Servings: 8', 'Yield: 8 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7044804.jpg,"['3 pounds assorted chicken bones ', '6 cloves garlic, unpeeled ', '2 unpeeled carrots, cut into chunks ', '2 stalks celery with leaves, cut into chunks ', '1 onion, unpeeled and quartered ', '2 tablespoons olive oil ', '2 tablespoons apple cider vinegar ', '2 bay leaves ', '1 teaspoon sea salt ', '½ teaspoon black peppercorns ', '12 cups water, or as needed ']","['Preheat the oven to 400 degrees F (200 degrees C).', 'Place chicken bones, garlic cloves, carrots, celery, and onion on a baking sheet and drizzle with olive oil. Toss to coat.', 'Roast in the preheated oven for 30 minutes, stirring halfway through.', 'Transfer roasted bones and vegetables into a 6-quart slow cooker. Add vinegar, bay leaves, salt, and peppercorns. Cover completely with water and cook on Low for 24 to 48 hours, adding 1 to 2 cups more water during the cooking process, to keep bones submerged.', 'Strain broth using a fine mesh strainer. Pour into jars and refrigerate until ready to use.', 'I like to save leftover chicken carcasses, bones, and vegetable trimmings in the freezer, and when I have enough I make a batch of broth.', 'The bone broth should gel upon refrigeration, however if it does not, it is still very nutritious! Just use less water and/or more collagen-rich bones.', 'To easily remove fat from the broth, refrigerate and remove the hardened layer on top using a spoon. Leaving the layer of fat on top helps seal and preserve the broth.']",Per Serving:  414 calories; protein 30.1g; carbohydrates 5.5g; fat 29.4g; cholesterol 143mg; sodium 376.4mg. Full Nutrition
Slow Cooker Mediterranean Chicken and Vegetables,https://www.allrecipes.com/recipe/274464/slow-cooker-mediterranean-chicken-and-vegetables/,"['Home', 'Recipes', 'Meat and Poultry', 'Chicken', 'Chicken Thigh Recipes', 'Slow Cooker Mediterranean Chicken and Vegetables']",4,6,"['cook: 5 hrs 20 mins', 'additional: 35 mins', 'total: 6 hrs 25 mins', 'prep: 30 mins', 'Servings: 8', 'Yield: 8 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6864015.jpg,"['1 teaspoon ground turmeric ', '1 teaspoon ground ginger ', '1 teaspoon ground coriander ', '1 teaspoon salt ', '¼ teaspoon ground cumin ', '¼ teaspoon cayenne pepper ', '8 bone-in chicken thighs, skin removed ', '1 (15 ounce) can chickpeas, drained ', '1 (14.5 ounce) can diced tomatoes, undrained ', '12 marinated artichoke hearts, drained ', '4 large carrots, chopped ', '4 large garlic cloves, halved ', '1 (3 inch) piece cinnamon stick ', '1 tablespoon olive oil, or more as needed ', '1 large sweet onion, halved and thinly sliced ', '½ pound green beans, trimmed and halved ', '1 red bell pepper, seeded and cut into 1-inch pieces ', '¼ cup coarsely chopped cilantro ', '3 cups water ', '2 cups couscous ']","['Combine turmeric, ginger, coriander, salt, cumin, and cayenne pepper in a small cup. Rub mixture over chicken and let sit at least 30 minutes.', 'Combine chickpeas, diced tomatoes, artichoke hearts, carrots, garlic, and cinnamon stick in the bottom of a 6- to 7-quart slow cooker.', 'Heat olive oil in a large nonstick skillet over medium-high heat. Add chicken and brown, about 4 minutes per side. Transfer chicken to the slow cooker, bone-side-up. Add onion to the same skillet. Saute over medium-high heat until onions have taken on a yellow color from turmeric and are starting to brown on the edges, about 5 minutes. Transfer to the slow cooker.', 'Cover the slow cooker and cook on Low for approximately 2 hours.', 'Place green beans and bell pepper over chicken. Cover and cook approximately 3 hours more.', 'Meanwhile, boil 3 cups of water in a saucepan. Add couscous and stir. Cover the pot and turn off the heat. Let sit until water is absorbed and couscous is tender, 5 to 10 minutes.', 'Place hot couscous on each plate and top with chicken and vegetables. Spoon juices from the slow cooker over each serving.']",Per Serving:  465 calories; protein 29.8g; carbohydrates 57.3g; fat 13g; cholesterol 70.3mg; sodium 733.9mg. Full Nutrition
Meadowwood Tapioca Pudding,https://www.allrecipes.com/recipe/219782/meadowwood-tapioca-pudding/,"['Home', 'Recipes', 'Desserts', 'Custards and Puddings', 'Meadowwood Tapioca Pudding']",4.5,36,"['cook: 2 hrs 30 mins', 'total: 2 hrs 45 mins', 'prep: 15 mins', 'Servings: 8', 'Yield: 8 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F772457.jpg,"['4 cups whole milk ', '⅔ cup white sugar ', '2 teaspoons vanilla extract ', '½ teaspoon salt ', '½ cup small tapioca pearls ', '3 egg yolks ']","['Whisk the milk, sugar, vanilla extract, salt, and tapioca pearls in a slow cooker until the sugar has dissolved. Turn the cooker to high setting, cover with lid, and cook for 2 hours. (If preferred, set on low setting and cook for 4 hours. Stir pudding occasionally during cooking.)', 'Place egg yolks into a bowl, and whisk until smooth. Mix about 1 tablespoon of the hot pudding into the egg yolks until thoroughly combined; continue gradually mixing hot tapioca pudding into the egg yolks, slowly increasing the amount of pudding mixed in, until the yolks and pudding total about 2 cups. Slowly pour the yolk mixture into the pudding in the slow cooker until blended, whisking constantly until the egg yolks have thickened the pudding, about 5 minutes.', 'Place lid back on the cooker, and continue cooking until the pudding is your desired degree of thickness, on high setting for about 30 more minutes (or low setting for 1 more hour).']",Per Serving:  190 calories; protein 5g; carbohydrates 29.8g; fat 5.6g; cholesterol 89mg; sodium 197.6mg. Full Nutrition
Slow Cooker Apple Dump Cake,https://www.allrecipes.com/recipe/8369320/slow-cooker-apple-dump-cake/,"['Home', 'Recipes', 'Desserts', 'Cakes', 'Cake Mix Cake Recipes', 'Dump Cake', 'Slow Cooker Apple Dump Cake']",4.5,3,"['cook: 2 hrs', 'total: 2 hrs 5 mins', 'prep: 5 mins', 'Servings: 12']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2022%2F03%2F31%2Fslow-cooker-apple-dump-cake-2000.jpg,"['2 (20 ounce) cans apple pie filling ', '1 (15.25 ounce) package yellow cake mix ', '½ cup unsalted butter, cut into cubes ', '¼ teaspoon ground cinnamon, or to taste ']","['Pour both cans of apple pie filling into a slow cooker. Sprinkle cake mix evenly over top to cover filling. Dot butter cubes over cake mix and sprinkle cinnamon over top.', 'Cover and cook on High until filling is bubbly and topping is golden brown, about 2 hours.']",Per Serving:  319 calories; fat 11.9g; cholesterol 21.1mg; sodium 279.2mg; carbohydrates 53g; protein 1.8g. Full Nutrition
Slow Cooker Butter Chicken,https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/,"['Home', 'Recipes', 'World Cuisine', 'Asian', 'Indian', 'Slow Cooker Butter Chicken']",4.5,673,"['cook: 4 hrs 15 mins', 'total: 4 hrs 30 mins', 'prep: 15 mins', 'Servings: 6', 'Yield: 6 servings']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1119998.jpg,"['2 tablespoons butter ', '2 tablespoons vegetable oil ', '4 large skinless, boneless chicken thighs, cut into bite-sized pieces ', '1 onion, diced ', '3 cloves garlic, minced ', '2 teaspoons curry powder ', '1 tablespoon curry paste ', '2 teaspoons tandoori masala ', '1 teaspoon garam masala ', '1 (6 ounce) can tomato paste ', '15 green cardamom pods ', '1 cup low-fat plain yogurt ', '1 (14 ounce) can coconut milk ', ' salt to taste ']","['Melt the butter and vegetable oil in a large skillet over medium heat. Stir in the chicken, onion, and garlic. Cook and stir until the onion has softened and turned translucent, about 10 minutes. Stir in the curry powder, curry paste, tandoori masala, garam masala, and tomato paste until no lumps of tomato paste remain. Pour into a slow cooker, and stir in the cardamom pods, coconut milk, and yogurt. Season to taste with salt.', 'Cook on High 4 to 6 hours, or on Low 6 to 8 hours until the chicken is tender and the sauce has reduced to your desired consistency. Remove and discard the cardamom pods before serving.', ""Take a needle and thread, and pierce the needle through the top of the cardamom pod. Continue with all the cardamom pods and then tie the ends together in a knot so it looks like a ring (you don't have to do this if you don't want the extra step...it just makes it easy to remove and nobody crunches down on a big bitter cardamom pod).""]",Per Serving:  480 calories; protein 30.6g; carbohydrates 17.2g; fat 33.3g; cholesterol 102.6mg; sodium 442mg. Full Nutrition
